brand,product,url,imgSrc,name,categories,specific,hex,lightness,in_india,R,G,B
Clinique,Superbalanced Makeup,https://www.ulta.com/superbalanced-makeup?productId=xlsImpprod10791911,https://images.ulta.com/is/image/Ulta/2153594?$tn$,alabaster,gem,10,#F9F7F5,0.968627450980392,True,249,247,245
Revlon,ColorStay Light Cover Liquid Foundation,https://www.ulta.com/colorstay-light-cover-liquid-foundation?productId=pimprod2021383,https://images.ulta.com/is/image/Ulta/2572990sw?$50px$,buff,color,150,#DFB891,0.72156862745098,True,223,184,145
L'Oréal,Infallible Fresh Wear 24HR Foundation,https://www.ulta.com/infallible-fresh-wear-24hr-foundation?productId=pimprod2002481,https://images.ulta.com/is/image/Ulta/2558073sw?$50px$,snow,misc,,#FDF2E2,0.93921568627451,True,253,242,226
L'Oréal,True Match Lumi Healthy Luminous Makeup,https://www.ulta.com/true-match-lumi-healthy-luminous-makeup?productId=xlsImpprod4480167,https://images.ulta.com/is/image/Ulta/2246794sw?$50px$,soft ivory/classic ivory,"descriptor, gem, color",,#E0B695,0.731372549019608,True,224,182,149
L'Oréal,Infallible 24HR Fresh Wear Foundation In A Powder,https://www.ulta.com/infallible-24hr-fresh-wear-foundation-in-a-powder?productId=pimprod2021871,https://images.ulta.com/is/image/Ulta/2575641sw?$50px$,deep amber,"descriptor, gem, color",,#9E5F42,0.43921568627451,True,158,95,66
Maybelline,Fit Me Dewy + Smooth Foundation,https://www.ulta.com/fit-me-dewy-smooth-foundation?productId=xlsImpprod2980151,https://images.ulta.com/is/image/Ulta/2537812sw?$50px$,warm honey,"descriptor, food",,#B07E51,0.503921568627451,True,176,126,81
Estée Lauder,Double Wear Stay-in-Place Makeup,https://www.ulta.com/double-wear-stay-in-place-makeup?productId=xlsImpprod14641507,https://images.ulta.com/is/image/Ulta/2309430sw?$50px$,bronze,metal,5W1,#B98C4B,0.509803921568627,True,185,140,75
Maybelline,Fit Me Dewy + Smooth Foundation,https://www.ulta.com/fit-me-dewy-smooth-foundation?productId=xlsImpprod2980151,https://images.ulta.com/is/image/Ulta/2225234?$sm$,soft honey,"descriptor, food",,#FDFCFC,0.990196078431373,True,253,252,252
Clinique,Even Better Glow Light Reflecting Makeup Broad Spectrum SPF 15,https://www.ulta.com/even-better-glow-light-reflecting-makeup-broad-spectrum-spf-15?productId=xlsImpprod16641043,https://images.ulta.com/is/image/Ulta/2515646sw?$50px$,biscuit,food,WN 30,#D29569,0.617647058823529,True,210,149,105
Maybelline,Super Stay Full Coverage Foundation,https://www.ulta.com/super-stay-full-coverage-foundation?productId=xlsImpprod17161541,https://images.ulta.com/is/image/Ulta/2528730sw?$50px$,fairy ivory,"misc, gem, color",105,#E1C3AB,0.776470588235294,True,225,195,171
Maybelline,Fit Me Matte + Poreless Liquid Foundation,https://www.ulta.com/fit-me-matte-poreless-liquid-foundation?productId=xlsImpprod11861007,https://images.ulta.com/is/image/Ulta/2282919sw?$50px$,warm honey,"descriptor, food",322,#DE9F75,0.664705882352941,True,222,159,117
Huda Beauty,#FauxFilter Skin Finish Buildable Coverage Foundation Stick,https://www.sephora.com/product/huda-beauty-fauxfilter-skin-finish-buildable-coverage-foundation-stick-P465324?icid2=products%20grid:p465324,/productimages/sku/s2395952+sw.jpg,brown sugar,food,410G,#DBAC84,0.688235294117647,True,219,172,132
Maybelline,Super Stay Full Coverage Foundation,https://www.ulta.com/super-stay-full-coverage-foundation?productId=xlsImpprod17161541,https://images.ulta.com/is/image/Ulta/2528738sw?$50px$,java,drink,375,#5D4233,0.282352941176471,True,93,66,51
Estée Lauder,Double Wear Maximum Cover Camouflage Makeup for Face and Body SPF 15,https://www.ulta.com/double-wear-maximum-cover-camouflage-makeup-face-body-spf-15?productId=xlsImpprod16501415,https://images.ulta.com/is/image/Ulta/2511723sw?$tn$,medium/deep,descriptor,3C4,#B4935F,0.53921568627451,True,180,147,95
Maybelline,Dream Urban Cover Flawless Coverage Foundation SPF 50,https://www.ulta.com/dream-urban-cover-flawless-coverage-foundation-spf-50?productId=pimprod2006666,https://images.ulta.com/is/image/Ulta/2545964sw?$50px$,almond,food,,#CDAC81,0.654901960784314,True,205,172,129
Estée Lauder,Futurist Hydra Rescue Moisturizing Makeup SPF 45,https://www.ulta.com/futurist-hydra-rescue-moisturizing-makeup-spf-45?productId=pimprod2013152,https://images.ulta.com/is/image/Ulta/2577966sw?$50px$,rich caramel,"descriptor, food",5W2,#B38763,0.545098039215686,True,179,135,99
Estée Lauder,Double Wear Stay In Place Matte Powder Foundation,https://www.ulta.com/double-wear-stay-in-place-matte-powder-foundation?productId=pimprod2003118,https://images.ulta.com/is/image/Ulta/2541005sw?$50px$,fawn,"color, animal",3W1.5,#FDCA90,0.77843137254902,True,253,202,144
Clinique,Chubby in the Nude Foundation Stick,https://www.sephora.com/product/chubby-in-nude-foundation-stick-P404468?icid2=products%20grid:p404468,/productimages/sku/s1775295+sw.jpg,bountiful beige,color,,#C99272,0.617647058823529,True,201,146,114
L'Oréal,Age Perfect Radiant Serum Foundation,https://www.ulta.com/age-perfect-radiant-serum-foundation?productId=pimprod2017262,https://images.ulta.com/is/image/Ulta/2569322sw?$50px$,chestnut,food,,#9F5C3B,0.427450980392157,True,159,92,59
Wet N Wild,PhotoFocus Stick Foundation,https://www.ulta.com/photofocus-stick-foundation?productId=pimprod2003352,https://images.ulta.com/is/image/Ulta/2539270sw?$50px$,vanilla beige,"food, color",,#E3AE7E,0.692156862745098,True,227,174,126
